Frequency,Velocity,Stdev_vel
1.917012097,1252.311318,0
1.95173886,1561.77772,578.0500274
2.045001045,1497.771737,524.4834592
2.082046333,1476.87202,511.5661619
2.318843957,1402.46089,402.5774915
2.352388291,1372.145994,405.7912679
2.573316993,1175.978238,362.0401483
2.865988362,1044.580042,245.0452591
2.949506732,1012.560713,219.7292527
3.214950565,916.0330005,161.7791719
3.261457953,904.1406189,150.0451329
3.479208573,862.7375978,119.2816502
3.63239374,827.1832134,110.5186967
3.792323457,790.0815716,97.45350915
3.945103987,766.5316789,75.94469255
4.133617432,748.3952658,66.78926133
4.362353419,701.1115792,88.62609885
4.378044973,698.8438832,89.02603134
4.670344312,649.7784324,79.58317192
5.164297961,589.6622371,61.20778501
5.509091331,556.8831897,95.28470622
5.772338583,535.9060356,95.28470622
6.069920365,511.8863145,95.28470622
6.269275191,497.3634685,95.28470622
6.663871951,466.9621832,95.28470622
6.687842156,465.3573576,95.28470622
7.134354663,442.7122536,95.28470622
7.185772071,440.328071,95.28470622
7.610678494,423.5198557,95.28470622
7.776418108,417.6691659,95.28470622
8.206730467,402.2560991,95.28470622
8.506754151,394.604543,95.28470622
9.205980423,382.0461647,95.28470622
9.372747185,379.3038218,95.28470622
10.03448192,371.0396494,95.28470622
10.2781,384.2815411,102.0928606
10.5939,377.8861508,140.7010499
10.9193,370.1169734,126.2637184
11.2548,366.1860445,109.1303151
11.6006,364.9505111,97.94924658
11.957,362.5436972,99.34151328
12.3243,360.5570516,96.77759142
12.7029,357.7647829,102.6094552
13.0932,352.8600217,110.1102125
13.4955,350.4025868,107.7099055
13.9101,348.774061,110.1860126
14.3374,347.0488855,101.3754345
14.7779,345.5256859,98.63766971
15.2319,344.7529126,98.39112538
15.6999,345.0484305,98.72561067
16.1822,345.9942483,107.8668907
16.6794,347.8153164,103.1215359
17.1918,347.9747616,100.2712979
17.72,347.3030789,95.0103252
18.2644,345.1158758,94.7515478
18.8803564,344.4551591,99.2771594
19.43211589,343.1645691,99.5436628
20,334.4236713,99.3079486
